timestamp,sensor0,sensor1,sensor2,sensor3,sensor4,sensor5
174023,629,2289,811,1019,1418,542
174273,635,2305,811,1021,1422,545
174523,628,2291,810,1022,1415,539
174773,630,2289,812,1018,1418,538
175023,627,2309,802,1015,1415,544
175273,624,2290,805,1022,1418,533
175523,627,2295,814,1020,1419,540
175773,627,2292,804,1020,1418,539
