timestamp,sensor0,sensor1,sensor2,sensor3,sensor4,sensor5
1444023,576,2359,599,985,1365,416
1444273,587,2368,595,987,1369,420
1444523,578,2359,593,985,1362,419
1444773,576,2365,599,979,1364,413
1445023,574,2352,595,978,1369,443
1445273,577,2353,593,983,1359,417
1445523,578,2359,585,986,1361,415
1445773,569,2353,592,986,1365,406
